lang,severity,f1,em,chrf,bleu
de,Major,0.25,0.25,48.39552575716733,25.00000000000001
de,Major,0.25,0.25,48.39552575716733,25.00000000000001
de,Neutral,0.25,0.25,48.39552575716733,25.00000000000001
de,Minor,0.25,0.25,48.39552575716733,25.00000000000001
de,Minor,0.25,0.25,48.39552575716733,25.00000000000001
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.8333333333333333,0.5,85.61640317443079,50.00000000000002
de,Neutral,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.0,0.0,0,0
de,Major,0.8333333333333333,0.5,85.61640317443079,50.00000000000002
de,Minor,0.8333333333333333,0.5,85.61640317443079,50.00000000000002
de,Minor,0.8333333333333333,0.5,85.61640317443079,50.00000000000002
de,Neutral,0.8333333333333333,0.5,85.61640317443079,50.00000000000002
de,Major,0.8333333333333333,0.5,85.61640317443079,50.00000000000002
de,Major,0.8333333333333333,0.5,85.61640317443079,50.00000000000002
